_msg_id,_ts,_msg_type,PrtryMsg.MsgHdr.MsgId,PrtryMsg.MsgHdr.CreDtTm,PrtryMsg.Rltd.Ref,PrtryMsg.PrtryData.Tp,PrtryMsg.PrtryData.Data.Nrrtv,_ns,_format
FREE00000487,2026-07-06T06:43:18.796,camt.998.001.03,FREE00000204,2026-07-12T02:59:17,REF00000310990,FREE_FORMAT,PAYCELL TIOTUSEQUEST REF39441177,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000349,2026-07-10T03:05:34.685,camt.998.001.03,FREE00000386,2026-07-13T18:28:01,REF00000092483,FREE_FORMAT,PANMENTASTONUR QUESY REF54749952,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000239,2026-07-07T15:59:46.514,camt.998.001.03,FREE00000219,2026-07-03T07:23:09,REF00000415248,FREE_FORMAT,PAYMENT TIANUS QUEST REF00836900,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000234,2026-07-12T01:01:19.879,camt.998.001.03,FREE00000017,2026-07-07T08:26:12,REF00000320558,FREE_FORMAT,PAYCENTATTATUR QUERT REF96057566,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000081,2026-07-09T03:58:05.805,camt.998.001.03,FREE00000549,2026-07-03T11:47:03,REF00000584699,FREE_FORMAT,CANCELL SIOTUSEQUEST REF26221778,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000167,2026-07-10T06:09:56.518,camt.998.001.03,FREE00000113,2026-07-11T13:45:28,REF00000085574,FREE_FORMAT,CAYCENLASIANUS QUERT REF71397628,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000271,2026-07-08T17:14:29.026,camt.998.001.03,FREE00000111,2026-07-08T13:35:15,REF00000207665,FREE_FORMAT,PAYMELL TTATUSEQUERT REF23966299,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000473,2026-07-06T01:16:23.256,camt.998.001.03,FREE00000090,2026-07-07T09:31:06,REF00000545578,FREE_FORMAT,CAYMELL STAN S QUERY REF77186374,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000196,2026-07-05T18:03:36.277,camt.998.001.03,FREE00000067,2026-07-06T11:25:15,REF00000038537,FREE_FORMAT,CAYCELLATIAT S QUESY REF55510619,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000468,2026-07-01T14:04:26.411,camt.998.001.03,FREE00000177,2026-07-12T07:22:41,REF00000437291,FREE_FORMAT,PANCELT STAN SEQUERT REF17133022,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000575,2026-07-11T08:40:32.763,camt.998.001.03,FREE00000341,2026-07-14T10:08:10,REF00000276057,FREE_FORMAT,PANCENLASTONUREQUESY REF67904021,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000164,2026-07-08T06:42:21.065,camt.998.001.03,FREE00000243,2026-07-10T09:19:18,REF00000007077,FREE_FORMAT,CANCELTATION REQUERY REF64500602,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000247,2026-07-08T19:33:46.972,camt.998.001.03,FREE00000494,2026-07-02T05:34:29,REF00000277448,FREE_FORMAT,PANMENLATIOT SEQUERT REF02646173,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000124,2026-07-10T17:35:11.899,camt.998.001.03,FREE00000320,2026-07-05T05:44:51,REF00000116958,FREE_FORMAT,PANCELT STONUS QUESY REF39424254,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000595,2026-07-08T12:37:03.255,camt.998.001.03,FREE00000264,2026-07-11T11:01:21,REF00000264300,FREE_FORMAT,PANMENL TTANUR QUESY REF67519725,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000283,2026-07-03T20:23:44.155,camt.998.001.03,FREE00000174,2026-07-07T18:45:39,REF00000485598,FREE_FORMAT,PAYCELTASIOTUREQUERY REF91237864,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000220,2026-07-08T09:01:45.569,camt.998.001.03,FREE00000124,2026-07-05T06:51:16,REF00000229515,FREE_FORMAT,CANMELL TIAT REQUESY REF09248673,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000456,2026-07-11T11:29:51.168,camt.998.001.03,FREE00000239,2026-07-03T07:19:29,REF00000255112,FREE_FORMAT,PAYMENT STAN R QUESY REF34131756,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000368,2026-07-06T10:17:42.746,camt.998.001.03,FREE00000160,2026-07-10T22:34:06,REF00000455103,FREE_FORMAT,PANMELL STOT REQUERT REF86789742,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000361,2026-07-06T16:05:07.323,camt.998.001.03,FREE00000453,2026-07-08T05:56:26,REF00000242491,FREE_FORMAT,PAYMELT TIONUR QUERY REF00079008,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000315,2026-07-07T01:07:18.142,camt.998.001.03,FREE00000247,2026-07-05T17:29:08,REF00000376888,FREE_FORMAT,PAYMENLASIAT S QUESY REF60565648,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000434,2026-07-13T21:06:14.054,camt.998.001.03,FREE00000578,2026-07-11T22:49:04,REF00000294837,FREE_FORMAT,PANCELL TIAT REQUEST REF91453425,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000259,2026-07-14T22:40:42.281,camt.998.001.03,FREE00000440,2026-07-09T20:07:42,REF00000087570,FREE_FORMAT,PANCENTASTOTUS QUEST REF38122451,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000030,2026-07-11T22:18:14.097,camt.998.001.03,FREE00000180,2026-07-02T16:19:12,REF00000534117,FREE_FORMAT,PAYCENL STOT SEQUESY REF97686315,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000253,2026-07-14T10:41:21.044,camt.998.001.03,FREE00000179,2026-07-01T12:33:24,REF00000345102,FREE_FORMAT,CANCELT SIONUR QUERT REF83559627,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000556,2026-07-05T23:40:13.972,camt.998.001.03,FREE00000150,2026-07-04T07:48:36,REF00000489449,FREE_FORMAT,PANMENT STANUSEQUERY REF33633835,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000097,2026-07-02T23:43:49.032,camt.998.001.03,FREE00000596,2026-07-12T04:12:07,REF00000051782,FREE_FORMAT,PAYCENT TTAN R QUEST REF01536631,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000031,2026-07-01T17:01:25.357,camt.998.001.03,FREE00000187,2026-07-08T07:46:07,REF00000597066,FREE_FORMAT,CAYCENT TIAT R QUERY REF11599005,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000593,2026-07-07T16:22:51.907,camt.998.001.03,FREE00000496,2026-07-03T07:23:09,REF00000029300,FREE_FORMAT,CANCENTATTOTUS QUESY REF37997219,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000125,2026-07-13T16:00:35.222,camt.998.001.03,FREE00000203,2026-07-04T11:06:39,REF00000155851,FREE_FORMAT,CANMELTASTATUREQUERT REF35578063,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
