_msg_id,_ts,_mt_type,32A_ccy,21,_sender_bic,_receiver_bic,32A_amount,52A,57A,58A,_format
REF00000788762,2026-07-12T10:12:23.032,202,SGD,REL04796669,OCBCSGSG,CITIUS33,146652,UOVBSGSG,OCBCSGSG,CITIUS33,mt
REF00000504925,2026-07-06T09:32:29.612,202,SGD,REL17715162,DBSSSGSG,HSBCGB2L,169570,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000119803,2026-07-07T14:11:32.519,202,SGD,REL66786981,OCBCSGSG,HSBCGB2L,59905,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000069920,2026-07-10T20:31:45.926,202,USD,REL05474995,OCBCSGSG,CITIUS33,68096,OCBCSGSG,MAYBMYKL,CITIUS33,mt
REF00000611955,2026-07-11T18:19:09.446,202,SGD,REL31083592,OCBCSGSG,HSBCGB2L,1405640,DBSSSGSG,UOVBSGSG,CITIUS33,mt
REF00000696062,2026-07-01T10:57:54.293,202,USD,REL84853194,UOVBSGSG,MAYBMYKL,359780,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000609152,2026-07-09T00:50:37.675,202,MYR,REL34207960,UOVBSGSG,HSBCGB2L,226269,UOVBSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000018875,2026-07-09T10:53:04.592,202,SGD,REL12806192,DBSSSGSG,CITIUS33,93788,DBSSSGSG,MAYBMYKL,CITIUS33,mt
REF00000033849,2026-07-07T03:44:48.699,202,USD,REL18615981,OCBCSGSG,MAYBMYKL,84694,UOVBSGSG,UOVBSGSG,CITIUS33,mt
REF00000174941,2026-07-04T06:54:12.827,202,USD,REL92132379,OCBCSGSG,MAYBMYKL,112401,UOVBSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000622177,2026-07-04T11:38:42.769,202,EUR,REL38469994,DBSSSGSG,MAYBMYKL,153434,OCBCSGSG,CITIUS33,HSBCGB2L,mt
REF00000071607,2026-07-10T11:26:17.343,202,SGD,REL42290420,UOVBSGSG,HSBCGB2L,224930,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000566713,2026-07-09T18:52:36.497,202,SGD,REL17841855,DBSSSGSG,MAYBMYKL,131933,OCBCSGSG,DBSSSGSG,HSBCGB2L,mt
