_msg_id,_ts,_mt_type,21,79,_sender_bic,_receiver_bic,_format
REF00000578876,2026-07-01T06:16:44.797,199,REL17715162,/CANC/ REQUEST CANCELLATION OF REF92589913,DBSSSGSG,HSBCGB2L,mt
REF00000011980,2026-07-13T15:04:07.839,199,REL55944610,/CANC/ REQUEST CANCELLATION OF REF70900547,OCBCSGSG,MAYBMYKL,mt
REF00000237215,2026-07-07T19:47:19.716,199,REL07128430,/CANC/ REQUEST CANCELLATION OF REF85319413,OCBCSGSG,MAYBMYKL,mt
REF00000118123,2026-07-06T23:46:55.389,199,REL96057566,/CANC/ REQUEST CANCELLATION OF REF56128061,DBSSSGSG,MAYBMYKL,mt
REF00000441718,2026-07-03T02:43:33.645,199,REL69987262,/CANC/ REQUEST CANCELLATION OF REF96459658,DBSSSGSG,MAYBMYKL,mt
REF00000584699,2026-07-05T08:27:29.535,199,REL40579500,/CANC/ REQUEST CANCELLATION OF REF90420526,OCBCSGSG,HSBCGB2L,mt
REF00000078418,2026-07-08T16:07:01.448,199,REL78157124,/CANC/ REQUEST CANCELLATION OF REF44602078,OCBCSGSG,MAYBMYKL,mt
REF00000188292,2026-07-05T02:31:57.904,199,REL15313637,/CANC/ REQUEST CANCELLATION OF REF93817805,DBSSSGSG,CITIUS33,mt
REF00000207767,2026-07-08T17:27:26.503,199,REL73259151,/CANC/ REQUEST CANCELLATION OF REF00360670,UOVBSGSG,CITIUS33,mt
REF00000210619,2026-07-11T23:13:13.241,199,REL20711539,/CANC/ REQUEST CANCELLATION OF REF37754289,UOVBSGSG,HSBCGB2L,mt
REF00000059417,2026-07-07T17:49:56.004,199,REL37185619,/CANC/ REQUEST CANCELLATION OF REF49763180,DBSSSGSG,CITIUS33,mt
REF00000133978,2026-07-01T03:08:17.230,199,REL40755438,/CANC/ REQUEST CANCELLATION OF REF32746526,DBSSSGSG,MAYBMYKL,mt
REF00000407230,2026-07-11T18:12:41.372,199,REL95280673,/CANC/ REQUEST CANCELLATION OF REF21281657,DBSSSGSG,CITIUS33,mt
REF00000208773,2026-07-12T08:56:36.437,199,REL26022432,/CANC/ REQUEST CANCELLATION OF REF88023722,OCBCSGSG,CITIUS33,mt
REF00000021242,2026-07-03T20:10:57.090,199,REL78975299,/CANC/ REQUEST CANCELLATION OF REF69219021,UOVBSGSG,HSBCGB2L,mt
REF00000098353,2026-07-06T18:39:59.792,199,REL64300858,/CANC/ REQUEST CANCELLATION OF REF97253051,DBSSSGSG,CITIUS33,mt
REF00000248312,2026-07-12T16:45:13.076,199,REL57833945,/CANC/ REQUEST CANCELLATION OF REF10808839,UOVBSGSG,HSBCGB2L,mt
REF00000332171,2026-07-07T18:09:09.138,199,REL18770924,/CANC/ REQUEST CANCELLATION OF REF93286986,DBSSSGSG,MAYBMYKL,mt
REF00000529515,2026-07-04T13:32:54.017,199,REL88168856,/CANC/ REQUEST CANCELLATION OF REF36895109,DBSSSGSG,HSBCGB2L,mt
REF00000252498,2026-07-08T01:44:31.632,199,REL23176421,/CANC/ REQUEST CANCELLATION OF REF03283540,DBSSSGSG,MAYBMYKL,mt
REF00000220146,2026-07-06T16:51:33.254,199,REL78814992,/CANC/ REQUEST CANCELLATION OF REF37984963,DBSSSGSG,CITIUS33,mt
REF00000160007,2026-07-10T08:33:44.493,199,REL35147673,/CANC/ REQUEST CANCELLATION OF REF86675905,DBSSSGSG,HSBCGB2L,mt
REF00000474669,2026-07-08T04:20:39.340,199,REL80480955,/CANC/ REQUEST CANCELLATION OF REF48266223,UOVBSGSG,HSBCGB2L,mt
REF00000284383,2026-07-01T06:14:55.029,199,REL59816584,/CANC/ REQUEST CANCELLATION OF REF41991025,DBSSSGSG,HSBCGB2L,mt
REF00000383767,2026-07-12T04:16:52.180,199,REL83579450,/CANC/ REQUEST CANCELLATION OF REF11131415,OCBCSGSG,HSBCGB2L,mt
REF00000032857,2026-07-04T22:06:29.219,199,REL45381057,/CANC/ REQUEST CANCELLATION OF REF34289402,UOVBSGSG,MAYBMYKL,mt
REF00000038058,2026-07-05T15:13:20.706,199,REL52656039,/CANC/ REQUEST CANCELLATION OF REF10216066,UOVBSGSG,CITIUS33,mt
REF00000527432,2026-07-07T19:21:53.820,199,REL28242764,/CANC/ REQUEST CANCELLATION OF REF11890960,UOVBSGSG,HSBCGB2L,mt
REF00000319656,2026-07-04T01:48:14.513,199,REL21517822,/CANC/ REQUEST CANCELLATION OF REF36631011,DBSSSGSG,MAYBMYKL,mt
REF00000313122,2026-07-10T06:59:31.130,199,REL41049706,/CANC/ REQUEST CANCELLATION OF REF74115990,OCBCSGSG,HSBCGB2L,mt
REF00000219378,2026-07-01T13:07:14.736,199,REL94412930,/CANC/ REQUEST CANCELLATION OF REF37997219,DBSSSGSG,MAYBMYKL,mt
REF00000032251,2026-07-05T20:21:03.898,199,REL17362525,/CANC/ REQUEST CANCELLATION OF REF11303557,UOVBSGSG,MAYBMYKL,mt
REF00000178497,2026-07-01T19:07:56.245,199,REL18725205,/CANC/ REQUEST CANCELLATION OF REF53497397,DBSSSGSG,HSBCGB2L,mt
REF00000488345,2026-07-09T07:07:17.991,199,REL76873158,/CANC/ REQUEST CANCELLATION OF REF44250312,OCBCSGSG,HSBCGB2L,mt
REF00000050468,2026-07-10T03:39:51.192,199,REL34886455,/CANC/ REQUEST CANCELLATION OF REF57908681,OCBCSGSG,HSBCGB2L,mt
REF00000022993,2026-07-08T19:55:50.878,199,REL34974963,/CANC/ REQUEST CANCELLATION OF REF01045787,DBSSSGSG,HSBCGB2L,mt
REF00000574287,2026-07-03T00:27:35.039,199,REL45493871,/CANC/ REQUEST CANCELLATION OF REF48168710,DBSSSGSG,MAYBMYKL,mt
REF00000488689,2026-07-13T17:37:12.752,199,REL57494391,/CANC/ REQUEST CANCELLATION OF REF26486794,OCBCSGSG,CITIUS33,mt
REF00000579258,2026-07-06T22:14:56.616,199,REL74856606,/CANC/ REQUEST CANCELLATION OF REF11067047,OCBCSGSG,CITIUS33,mt
REF00000573899,2026-07-05T12:59:23.570,199,REL89468080,/CANC/ REQUEST CANCELLATION OF REF12442750,UOVBSGSG,CITIUS33,mt
REF00000412739,2026-07-09T15:57:15.609,199,REL37635250,/CANC/ REQUEST CANCELLATION OF REF30434858,UOVBSGSG,MAYBMYKL,mt
REF00000504493,2026-07-07T02:40:48.522,199,REL52658940,/CANC/ REQUEST CANCELLATION OF REF24324242,UOVBSGSG,MAYBMYKL,mt
REF00000213183,2026-07-05T21:05:29.520,199,REL57122342,/CANC/ REQUEST CANCELLATION OF REF16173343,DBSSSGSG,MAYBMYKL,mt
REF00000321846,2026-07-05T20:44:18.791,199,REL85760013,/CANC/ REQUEST CANCELLATION OF REF41592632,UOVBSGSG,CITIUS33,mt
REF00000583180,2026-07-11T17:17:58.043,199,REL61599538,/CANC/ REQUEST CANCELLATION OF REF70612602,UOVBSGSG,MAYBMYKL,mt
REF00000562581,2026-07-02T03:51:47.657,199,REL91005477,/CANC/ REQUEST CANCELLATION OF REF25042230,UOVBSGSG,HSBCGB2L,mt
REF00000581947,2026-07-06T22:25:29.162,199,REL16968920,/CANC/ REQUEST CANCELLATION OF REF28940369,OCBCSGSG,MAYBMYKL,mt
REF00000099438,2026-07-09T23:17:47.198,199,REL98915051,/CANC/ REQUEST CANCELLATION OF REF01782416,UOVBSGSG,CITIUS33,mt
REF00000026135,2026-07-03T04:14:18.462,199,REL78580794,/CANC/ REQUEST CANCELLATION OF REF02094216,DBSSSGSG,MAYBMYKL,mt
REF00000218725,2026-07-11T13:47:58.425,199,REL02496359,/CANC/ REQUEST CANCELLATION OF REF36426492,OCBCSGSG,MAYBMYKL,mt
