_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format
MSG00000788762,2026-07-14T16:24:38.618,pacs.009.001.08,SGD,MSG00000049258,2026-07-06T22:10:27,1,INDA,REF00000669725,e302123b-000b-e425-0f72-221829fb876e,161839,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000464848,2026-07-08T22:31:38.787,pacs.009.001.08,SGD,MSG00000109248,2026-07-05T01:27:42,1,INDA,REF00000090054,020a4fc5-2f52-40b3-9e1d-158494e1cbfa,74690,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000319413,2026-07-06T05:10:37.571,pacs.009.001.08,EUR,MSG00000043498,2026-07-07T12:33:02,1,INDA,REF00000524870,ef1f5ee9-35dd-3fc8-b358-ae22c619172a,147684,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000033849,2026-07-03T01:13:08.835,pacs.009.001.08,USD,MSG00000749410,2026-07-05T07:07:05,1,INDA,REF00000190723,9e282d63-6e7b-d569-b4ff-441542a50124,27856,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000632953,2026-07-11T00:42:07.237,pacs.009.001.08,EUR,MSG00000111440,2026-07-05T15:14:52,1,INDA,REF00000134334,61dca6c8-da42-8dc8-c869-1be7f5c902fc,166654,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000684277,2026-07-07T12:39:30.605,pacs.009.001.08,USD,MSG00000123966,2026-07-13T08:28:51,1,INDA,REF00000078438,9df5cf59-b65e-0e30-f24a-99a96826aaae,26428,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000521901,2026-07-13T16:38:45.754,pacs.009.001.08,USD,MSG00000045578,2026-07-11T11:18:23,1,INDA,REF00000326771,82378b40-1164-bd29-f7b2-a75ff42475ca,39282,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000474738,2026-07-05T17:30:59.778,pacs.009.001.08,SGD,MSG00000261868,2026-07-12T13:10:31,1,INDA,REF00000070385,4e1b2bd1-a76b-f10e-9da4-70bbd5206644,81617,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000433886,2026-07-05T02:43:02.332,pacs.009.001.08,SGD,MSG00000180741,2026-07-08T23:38:19,1,INDA,REF00000176391,81ebb9cd-790a-316b-a9b8-e50d76e85bdf,169646,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000421746,2026-07-06T04:26:00.170,pacs.009.001.08,USD,MSG00000037558,2026-07-10T23:17:56,1,INDA,REF00000544075,ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,199612,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000748295,2026-07-03T12:31:25.105,pacs.009.001.08,SGD,MSG00000043055,2026-07-10T17:37:00,1,INDA,REF00000161508,805a3118-aa9d-cc09-a746-eda8dc8fa795,49581,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000620412,2026-07-07T07:51:18.312,pacs.009.001.08,SGD,MSG00000424254,2026-07-04T11:09:33,1,INDA,REF00000715705,5d517b6d-0c22-7cfc-9ae2-0544cd5493fa,85407,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000366315,2026-07-13T17:53:27.765,pacs.009.001.08,SGD,MSG00000587537,2026-07-04T04:30:04,1,INDA,REF00000197253,48df8a52-7e72-484c-646a-0b6700be70dd,30402,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
