uetr,ts,service,status,msg_type,rail,amount,currency,debtor_account,country,latency_ms
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:09.936,gateway,OK,pacs.008,FAST,179.68,MYR,**************6252,MY,60
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:10.190,auth,OK,pacs.008,FAST,179.68,MYR,**************6252,MY,63
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:10.282,validation,OK,pacs.008,FAST,179.68,MYR,**************6252,MY,59
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:10.368,aml,OK,pacs.008,FAST,179.68,MYR,**************6252,MY,199
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:10.444,payment-hub,OK,pacs.008,FAST,179.68,MYR,**************6252,MY,40
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:10.499,core-banking,OK,pacs.008,FAST,179.68,MYR,**************6252,MY,163
e302123b-000b-e425-0f72-221829fb876e,2026-07-07T05:42:10.543,settlement,SETTLED,pacs.008,FAST,179.68,MYR,**************6252,MY,82
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.235,gateway,OK,MT103,SWIFT,794.69,MYR,**************7603,MY,22
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.289,auth,OK,MT103,SWIFT,794.69,MYR,**************7603,MY,23
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.387,validation,OK,MT103,SWIFT,794.69,MYR,**************7603,MY,40
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.468,aml,OK,MT103,SWIFT,794.69,MYR,**************7603,MY,235
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.531,payment-hub,OK,MT103,SWIFT,794.69,MYR,**************7603,MY,120
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.647,core-banking,OK,MT103,SWIFT,794.69,MYR,**************7603,MY,110
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T06:09:44.687,settlement,SETTLED,MT103,SWIFT,794.69,MYR,**************7603,MY,207
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:26.853,gateway,OK,0200,CARDS,1064.9,USD,**************2651,US,33
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:27.093,auth,OK,0200,CARDS,1064.9,USD,**************2651,US,73
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:27.346,validation,OK,0200,CARDS,1064.9,USD,**************2651,US,27
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:27.420,aml,OK,0200,CARDS,1064.9,USD,**************2651,US,295
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:27.557,payment-hub,OK,0200,CARDS,1064.9,USD,**************2651,US,118
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:27.667,core-banking,OK,0200,CARDS,1064.9,USD,**************2651,US,134
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-14T22:28:27.719,settlement,SETTLED,0200,CARDS,1064.9,USD,**************2651,US,109
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-04T04:05:15.968,gateway,OK,MT103,SWIFT,3619.89,INR,**************3848,SG,36
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-04T04:05:16.051,auth,OK,MT103,SWIFT,3619.89,INR,**************3848,SG,49
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-04T04:05:16.127,validation,OK,MT103,SWIFT,3619.89,INR,**************3848,SG,94
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-04T04:05:16.287,aml,TIMEOUT,MT103,SWIFT,3619.89,INR,**************3848,SG,30000
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-04T04:05:16.362,payment-hub,FAILED,MT103,SWIFT,3619.89,INR,**************3848,SG,60
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T16:28:44.942,gateway,OK,MT103,SWIFT,455.82,SGD,**************9314,SG,30
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T16:28:45.011,auth,OK,MT103,SWIFT,455.82,SGD,**************9314,SG,87
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T16:28:45.337,validation,OK,MT103,SWIFT,455.82,SGD,**************9314,SG,38
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T16:28:45.392,aml,TIMEOUT,MT103,SWIFT,455.82,SGD,**************9314,SG,30000
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T16:28:45.533,payment-hub,FAILED,MT103,SWIFT,455.82,SGD,**************9314,SG,39
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:25:40.067,gateway,OK,pacs.008,FAST,280.82,MYR,**************5617,SG,27
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:26:10.074,auth,OK,pacs.008,FAST,280.82,MYR,**************5617,SG,26
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:26:10.182,validation,OK,pacs.008,FAST,280.82,MYR,**************5617,SG,39
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:26:10.208,aml,OK,pacs.008,FAST,280.82,MYR,**************5617,SG,163
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:26:10.276,payment-hub,OK,pacs.008,FAST,280.82,MYR,**************5617,SG,123
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:26:10.340,core-banking,OK,pacs.008,FAST,280.82,MYR,**************5617,SG,176
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T12:26:10.600,settlement,SETTLED,pacs.008,FAST,280.82,MYR,**************5617,SG,323
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-02T17:27:33.165,gateway,OK,MT103,SWIFT,325.32,GBP,**************7074,GB,25
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-02T17:27:33.273,auth,OK,MT103,SWIFT,325.32,GBP,**************7074,GB,72
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-02T17:28:03.304,validation,REJECTED,MT103,SWIFT,325.32,GBP,**************7074,GB,70
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:16.937,gateway,OK,pacs.008,FAST,499.3,GBP,**************4104,GB,60
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:17.126,auth,OK,pacs.008,FAST,499.3,GBP,**************4104,GB,43
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:17.256,validation,OK,pacs.008,FAST,499.3,GBP,**************4104,GB,106
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:17.422,aml,OK,pacs.008,FAST,499.3,GBP,**************4104,GB,297
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:17.559,payment-hub,OK,pacs.008,FAST,499.3,GBP,**************4104,GB,112
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:17.652,core-banking,OK,pacs.008,FAST,499.3,GBP,**************4104,GB,62
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-03T10:03:17.865,settlement,SETTLED,pacs.008,FAST,499.3,GBP,**************4104,GB,241
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-07T09:06:32.278,gateway,OK,pacs.008,FAST,946.61,SGD,**************4366,SG,29
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-07T09:06:32.477,auth,OK,pacs.008,FAST,946.61,SGD,**************4366,SG,28
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-07T09:06:32.592,validation,OK,pacs.008,FAST,946.61,SGD,**************4366,SG,85
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-07T09:06:32.752,aml,TIMEOUT,pacs.008,FAST,946.61,SGD,**************4366,SG,30000
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-07T09:06:32.864,payment-hub,FAILED,pacs.008,FAST,946.61,SGD,**************4366,SG,105
